qubits,depth,backend,threads,gates,wall_ms,hostname,commit,dtype,timestamp
12,100,cupy,12,900,440.535,1bac0a9497ad,,complex64,2025-11-05T20:59:46
14,100,cupy,12,1050,518.243,1bac0a9497ad,,complex64,2025-11-05T20:59:49
16,100,cupy,12,1200,599.859,1bac0a9497ad,,complex64,2025-11-05T20:59:49
18,100,cupy,12,1350,681.325,1bac0a9497ad,,complex64,2025-11-05T20:59:50
20,100,cupy,12,1500,780.083,1bac0a9497ad,,complex64,2025-11-05T20:59:51
22,100,cupy,12,1650,947.624,1bac0a9497ad,,complex64,2025-11-05T20:59:52
24,100,cupy,12,1800,4200.594,1bac0a9497ad,,complex64,2025-11-05T20:59:56
26,100,cupy,12,1950,19596.739,1bac0a9497ad,,complex64,2025-11-05T21:00:16
