qubits,depth,backend,threads,gates,wall_ms,hostname,commit,dtype,timestamp
12,100,serial,0,900,877.053,air.local,2cb1883,complex64,2025-11-04T21:05:46
14,100,serial,0,1050,3945.729,air.local,2cb1883,complex64,2025-11-04T21:05:50
16,100,serial,0,1200,17795.798,air.local,2cb1883,complex64,2025-11-04T21:06:08
18,100,serial,0,1350,80100.657,air.local,2cb1883,complex64,2025-11-04T21:07:28
